Название;Описание;Цена;Цена до скидки;Фото 1;Фото 2;Фото 3;Категория;Бранд;;
"TRIPHALA GHRITAM, Kottakkal (ТРИФАЛА ГРИТАМ, Коттаккал), 150 г.
";"Трифала Гритам (Traiphala Ghritam) – это аюрведическое средство, популярное благодаря своим антисептическим, омолаживающим и очищающим свойствам. Мягко и бережно очищает кишечник, селезенку, печень и желчный пузырь, является ценным источником витаминов. Пищевая добавка повышает иммунитет, нормализует работу пищеварительной системы, снимает стресс и тревожность, оказывает успокоительное действие и замедляет воспалительные процессы.

Показания к применению:

очищение организма
дефицит витаминов
слабый иммунитет
заболевания ЖКТ
стресс
тревожность
воспаления";621;690;https://india-bazar.ru/images/stories/virtuemart/product/traiphala-ghritam-kottakkal-trifala-gritam-kottakkal-150-g.jpg;;;Здоровье;maharishi;;150 г
"PSORAKOT GEL, Kottakkal (ПСОРАКОТ ГЕЛЬ гель от псориаза и других заболеваний кожи, Коттаккал), 25 г.
";"Гель Псоракот - эффективное средство лечения псориаза и других воспалительных заболеваний кожи. Действует мягко и бережно, увлажняет кожу. Оказывает антибактериальное и антисептическое воздействие. Даёт длительный и стойкий лечебный эффект.

Помимо своего основного назначения средство эффективно борется с грибками. Так что его хорошо иметь в домашней аптечке, даже если ни Вы, ни кто-то из близких не страдает от псориаза. Ведь грибок - довольно распространенная неприятность, которую легко можно подхватить в бане, в бассейне, в отеле.

Ну а псориаз данным препаратом лечится очень эффективно. Главное соблюдать срок его применения, который должен составлять как минимум 10 дней непрерывного лечения. При необходимости его нужно продлить. И другой важный момент — дать средству впитаться в кожу, то есть не смывать его сразу же после нанесения.

Райтия в составе геля Псоракот — крайне эффективное средство против кожных болезней. Но интересно, что растение обладает большим лечебным эффектом, если оно выросло на плодородной почве. А именно в таких условиях растет сырье для препаратов Коттакал Аюрведа.

НАЗНАЧЕНИЕ

Псориаз, грибок, другие заболевания кожи.";180;200;https://downloader.disk.yandex.ru/preview/4a5b2bba3d3547d129599c8953436d1be86ea0f449ef14ab796088ad76a240fb/63869727/8V8wb-fWFA6VmMyc3j_XScmNsuj3NHW5e1UtSLTqDCOSiPo7jJKJhppVbZHkoqM77KNp7woRmwy11Pafb8qg6A%3D%3D?uid=0&filename=IMG_0056%20%282%29.jpg&disposition=inline&hash=&limit=0&content_type=image%2Fjpeg&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;bastofindia;;
"PILOCID GEL, Kottakkal (ПИЛОЦИД ГЕЛЬ от геморроя, Коттаккал), 25 г.
";"Пилоцид - средство, помогающее устранить или, как минимум, уменьшить неприятные ощущения, связанные с геморроем. Включает в свой состав травы с вяжущими свойствами. Они практически сразу же останавливают кровотечение и стимулируют процесс регенерации тканей. Среди растений есть те, которые помогают даже от укусов ядовитых змей, что уж говорить о менее серьезной по сравнению с ними проблеме!

Один из серьезных негативных моментов геморроя - воспалительный процесс. Действие Пилоцида направлено на решение и этой проблемы. Его антибактериальные свойства быстро останавливают воспаление. Как следствие ощущение дискомфорта становится значительно меньше.

Геморрой - это далеко не только косметический дефект, но реальная проблема, мешающая жить. Боль и зуд, невозможность заниматься спортом - вот лишь далеко не полный перечень того, как этот неприятный недуг ухудшает качество жизни. К счастью, есть Пилоцид гель, который проявляет свои заживляющие качества после первого же применения. А после курса возможно достичь значительных улучшений на длительный срок.

НАЗНАЧЕНИЕ

Геморрой, кровотечение, трещины в анальном проходе.";180;200;https://downloader.disk.yandex.ru/preview/c6df1d48f733649f8cc32b7cbcac7c788445ca8164e0e3e66ae30a437724c17a/63869727/clTNQrKcpCdmdVjLAFV5ko3rjQ-zXoZOZvRTq_aOwqrxw871OzkGrMBFYlfGxEczYdzSqXHAYGpicN9_lnU2qA%3D%3D?uid=0&filename=IMG_0084.jpg&disposition=inline&hash=&limit=0&content_type=image%2Fjpeg&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;dabur;;
"RHUKOT GEL, Kottakkal (РУКОТ ГЕЛЬ, обезболивающий гель для суставов, Коттаккал), 25 г.
";"Рукот - многофункциональный препарат мощного действия. Снимает раздражение и покраснение кожи, а также способен восстанавливать подвижность суставов. Особенность геля заключается в том, что он не просто убирает боль, но еще и снимает воспаление.

Быстро проникая вглубь поврежденных тканей, препарат прекрасно снимает мышечную и суставную боль, вызванную чрезмерной нагрузкой на колени и поясницу, а также боли в шее, плечевом поясе в результате отложения солей или остеохондроза. Он показан также при болях в суставах, связанных с остеоартритом, шейным и поясничным спондилезом, при воспалении седалищного нерва и приступах острой боли в поясничной области – простреле.

Рукот помогает при растяжении связок, переутомлении, дистрофии тканей сухожилия, воспалениях оболочки сустава, при бурсите.

НАЗНАЧЕНИЕ

Боли в суставах, ревматоидный артрит, другие заболевания суставов, кожные заболевания, раздражение, покраснения.";227;253;https://downloader.disk.yandex.ru/preview/f8b4afdd6ca76f05e949efbdc1697c3513f87fb8a640dafb38ced860426cb663/63869727/PvPhWAVuToXS9k9YDNoCRI3rjQ-zXoZOZvRTq_aOwqrEYSBP59zQi6q5BGLW6mckdqhwBl-o270qz7PH971Wkw%3D%3D?uid=0&filename=IMG_0083.jpg&disposition=inline&hash=&limit=0&content_type=image%2Fjpeg&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;himalaya;;
"SHATAVARI churna Vyas (ШАТАВАРИ Чурна, женский эликсир молодости, Вьяс), 100 г.
";"Шатавари Чурна (Shatavari Churna) – эффективное аюрведическое средство на основе растительного компонента для репродуктивной системы. Обладает противовоспалительными, обезболивающими свойствами. Стабилизирует гормональный фон, нормализует менструальный цикл, уменьшает болезненные проявления. Шатавари регулирует выработку прогестерона, снижает риск развития мастопатии, эндометриоза и других гинекологических заболеваний, облегчает симптомы менопаузы. Средство стимулирует выработку молока при грудном вскармливании.

Основная информация:
натуральный продукт
обладает противовоспалительными, обезболивающими свойствами
стабилизирует гормональный фон
нормализует менструальный цикл, уменьшает болезненные проявления
регулирует выработку прогестерона
снижает риск развития мастопатии, эндометриоза
облегчает симптомы менопаузы
стимулирует выработку молока при грудном вскармливании

НАЗНАЧЕНИЕ

Климакс, гастрит, диарея, колебания менструального цикла, ослабленность организма после перенесенных операций, мышечные спазмы, снижение полового влечения, женское бесплодие, низкая способность яйцеклеток к оплодотворению, герпес, эрозия шейки матки, воспаление органов малого таза, эндометриоз, недостаточное количество грудного молока, болезненные месячные, нестабильный гормональный фон, обезвоживание, повышенная кислотность желудка, фибромиома, мастопатия, воспаление придатков, сперматогенез, геморрой, менопауза, послеродовое восстановление, афродизиак.";360;400;https://india-bazar.ru/images/stories/virtuemart/product/shatavari-churna-vyas-shatavari-churna-zhenskij-eliksir-molodosti-vyas-100-g.jpg;;;Здоровье;maharishi;;
"ANWALA (AMLA) CHURNA, Vyas (АНВАЛА (АМЛА) ЧУРНА, натуральный антиоксидант, Вьяс), 100 г.
";"Амалаки (Emblica officinalis, эмблика лекарственная, хинди - амла, санскр. - амалаки, индийский крыжовник) - одно из самых знаменитых растений с омолаживающим и общеукрепляющим эффектом в Аюрведе. В Аюрведической медицине Амла применяется для лечения воспаления легких, туберкулеза, диабета и в качестве стимулятора пищеварения, как омолаживающий и восстанавливающий тоник. Понятие ""тоник"" в Аюрведе означает, что прием препарата полезен для всех органов, от пищеварения до органов чувств. Предотвращает преждевременное старение и защищает организм от вредного воздействия свободных радикалов. Амла Чурна также способствует укреплению иммунной системы, эффективно очищает организм от шлаков и токсинов, оказывает противовоспалительное действие и помогает в лечении заболеваний органов желудочно-кишечного тракта. Помимо этого, поддерживает здоровье глаз, кожи, ногтей и волос.

Не только плоды, но и листья, цветы, семена, кора и корни этого дерева обладают целебными свойствами. Кора амлы действует как вяжущее средство. Свежие плоды Амалаки имеют мочегонный эффект, обладают свойствами слабительного охлаждающего средства; они также содействуют пищеварению и имеют ветрогонные свойства. Сушёные плоды Амалаки обладают вяжущими свойствами; кора Амалаки также действует как вяжущее средство. Цветы же имеют охлаждающее воздействие и эффект слабительного. Плоды содержат огромное количество аскорбиновой кислоты, а также никотиновую кислоту, каротин, рибофлавин, тиамина бромид, метионин, триптофан, масла, танин, галлиевую кислоту, глюкозу, альбумин, целлюлозу, кальций, железо, фосфор, медь, камеди. В плодах также много флавоноидов, дубильных веществ и пектина. Плоды используются для приготовления различных соков, напитков, косметических и лекарственных препаратов - таблеток, порошка (чурны) и т.д.";270;300;https://india-bazar.ru/images/stories/virtuemart/product/anwala-churn-vyas-anvala-churna-vyas-100-g.jpg;;;Здоровье;bastofindia;;
"NEEMPATTI Churna Vyas (НИМ ПАТТИ Чурна, при кожных заболеваниях, вирусных, паразитарных инфекциях, Вьяс), 100 г.
";"Ним Патти Чурна - это высокоэффективное средство для очищения крови и внутренних органов от шлаков и токсинов. Улучшает состояние кожи, повышает защитные функции организма, оздоравливает кишечную флору, нормализует работу печени.

Слово «ним» переводится как «дарящее здоровье». Его называют «благословенным деревом». Организация Объединенных Наций присвоила дереву ним титул «дерева 21 века» и официально признала «растением безграничных возможностей». В практике Аюрведы ним применяется в качестве антисептического средства для кожи, как наружно, так и внутренне. Он устраняет саму причину заболеваний кожи, чистит кровь, печень, нормализует обмен веществ в организме, уничтожает микроорганизмы, которые вызывают инфекции.

При применении наружно порошок нима устраняет внешние симптомы заболеваний кожи. Он очищает поры, регулирует работу сальных желёз, питает кожу, борется с воспалительными процессами на её поверхности, экземой, нарывами, грибковыми инфекциями, угрями, особенно глубокими, подкожными, от которых сложно избавится одними лишь косметическими средствами. Ускоряет регенерацию долго незаживающих ран.

Помимо помощи при проблемах с кожей ним способствует укреплению иммунитета, повышает защитные функции организма, избавляет от кишечных паразитов, восстанавливает правильную работу печени. Особенность воздействия нима состоит ещё и в том, что он делает Вашу кровь просто напросто не привлекательной для различного вида кровососущих, что делает его прекрасным средством защиты от насекомых.";270;300;https://india-bazar.ru/images/stories/virtuemart/product/neempatti-churna-vyas-nim-patti-churna-vyas-100-g.jpg;;;Здоровье;dabur;;
"BRAHMI churna Vyas (БРАМИ (БРАХМИ) Чурна, тоник для стимуляции активности мозга, Вьяс), 100 г.
";"Брахми Чурна (Brahmi Churn) – аюрведическое средство для улучшения мозговой деятельности. Создано на основе одного из самых популярных и полезных растений, произрастающих в Индии - центеллы азиатской. Брахми предотвращает дегенеративные изменения мозга, укрепляет память, повышает концентрацию внимания, снимает эмоциональное перевозбуждение, улучшает настроение, устраняет головную боль и бессонницу. Средство также улучшает состояние при хронических заболеваниях, улучшает состояние кожи.

В Индии Брахми относят к растениям с самой духовной, саттвичной природой. Оно устанавливает баланс между левым и правым полушариями мозга, соединяя таким образом в человеке его логичное и интуитивное начала. Поэтому Брахми Чурна рекомендуется для обретения состояния осознанности всем, но особенно тем, кто активно занимается духовными практиками.

Основная информация:
натуральный продукт
не содержит красителей
не содержит консервантов
эффективный тоник для мозга
подходит для взрослых и детей";270;300;https://india-bazar.ru/images/stories/virtuemart/product/brahmi-churna-vyas-brakhmi-churna-tonik-dlya-stimulyatsii-aktivnosti-mozga-vyas-100-g.jpg;;;Здоровье;himalaya;;
Баласвагандхади Тайлам Коттаккал - масло для укрепления здоровья / Balaswagandhadi Tailam Kottakkal 200 мл;"Балашвагандхади Тайлам (Balaswagandhadi Tailam) – это аюрведическое масло, произведенное на основе растительных компонентов, которое оказывает омолаживающее действие, заряжает энергией, устраняет хроническую усталость и избавляет от инфекций. Регулярное применение Балашвагандхади Тайлам избавит от отеков на теле, восстановит силы после болезни или сильных нагрузок.

Основная информация:

натуральный продукт,
оказывает омолаживающее действие,
заряжает энергией,
устраняет хроническую усталость и избавляет от инфекций,
избавляет от отеков на теле,
восстанавливает силы после болезни или сильных нагрузок.

Показания к применению:

преждевременное старение,
хроническая усталость,
инфекции,
отеки,
восстановление организма.";690;;https://lotos-herbals.ru/photoz/98864221/4.gif;;;Здоровье;dabur;;
"ELADI cream, Kottakkal (ЭЛАДИ крем, Коттаккал), 25 г.
";"Элади — крем, предназначенный для лечения широкого спектра косметических проблем и не только: кожные заболевания, облысение, заболевания дёсен. Продукт произведён на основе масла Элади, которое содержит в себе 28 компонентов. Среди них ценные и дорогостоящие, известные своим лечебным эффектом, масла шафрана, пальмарозы и мирры.

Аюрведические средства обладают всеми возможными достоинствами — они эффективны, доступны, натуральны и имеют минимум побочных эффектов. Однако не всегда они имеют удобную форму для применения. Однако данный крем сочетает в себе удобство применения и максимальную концентрацию лечебных свойств.

Оно помогает практически при всех заболеваниях кожи, в том числе аллергических и паразитарных, а также восстанавливает ее состояние. Лечит акне, фурункулы, раздражение, устраняет зуд и раздражение. Также крем повышает естественный иммунитет кожи, благодаря чему она становится меньше подвержена разрушительному воздействию солнечных лучей или других неблагоприятных внешних воздействий.

Элади можно применять и просто для улучшения внешнего вида кожи, а также в профилактических целях. Благодаря ему она приобретает здоровый цвет, становится более упругой, разглаживаются мелкие морщинки. Также крем можно использовать в качестве массажного средства. Его успокаивающий эффект и приятный умиротворяющий чувства аромат многим придётся по душе и поможет избавиться от скованности и зажатости в теле, привести в равновесие эмоции и чувства.";207;230;https://downloader.disk.yandex.ru/preview/317cba86912b6917ab63ce8643fc0bbdbb326b68a55fa34df652d1882235c66e/63869727/221H_uBbHh7qpmYxfVSXeT_iYwQDW3VB1C5476LFRyRJl2XB22r34SPFCtIt8F8va2jF309Hla3btq19XNuUqA%3D%3D?uid=0&filename=IMG_0086.jpg&disposition=inline&hash=&limit=0&content_type=image%2Fjpeg&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;himalaya;;
"KARPURADI TAILAM, Kottakkal (КАРПУРАДИ ТАЙЛАМ, при растяжении или повреждении связок, Коттаккал), 200 мл.
";"Масло расслабляет мышцы, снимает усталость и болезненные ощущения.

Масло для массажа при растяжении или повреждении связок, мышечных судорогах и спазмах, мышечной усталости и онемении, для восстановления после спортивных травм и тяжёлых физических нагрузок.

Масло расслабляет мышцы, снимает усталость и болезненные ощущения. Обладает антисептическим и разогревающим действием, восстанавливает кровообращение, выводит токсины, помогает при простудных заболеваниях. Эффективно для массажа при растяжении или повреждении связок, мышечных судорогах и спазмах, мышечной усталости и онемении.

Аюрведическое массажное масло Карпуради - формула, созданная врачами Аюрведы в древности и используемая неизменно до сих пор. Это эффективное средство для массажа при растяжении или повреждении связок, мышечных судорогах и спазмах, мышечной усталости и онемении. Дает облегчение при ревматических заболеваниях, отеках и опухолях в суставах, боли в груди, полезно в освобождении от затруднений дыхания, при невралгии, болях в шее.

Масло Карпуради также рекомендуется спортсменам после тяжёлых физических нагрузок. Очень эффективно действуют припарки из масла Карпуради на места повреждения. Средство подходит для проведения лёгкого аюрведического массажа ""абхьянга"".

Масло Карпуради обладает антисептическим и разогревающим действием. Восстанавливает кровообращение, выводит токсины. Расслабляет мышцы, снимает усталость и болезненные ощущения.

Эффективно помогает при простудных заболеваниях. Для массажа масло Карпуради можно применяеть в чистом виде и в комплексе с другими маслами (25% Карпуради и 75% любое другое массажное масло).";683;759;https://india-bazar.ru/images/stories/virtuemart/product/karpuradi-tailam-kottakkal-karpuradi-tajlam-kottakkal-200-ml.jpg;;;Здоровье;maharishi;;
"ASHWAGANDHA tablets Shri Ganga (АШВАГАНДХА в таблетках, для снятия стресса, Шри Ганга), 120 таб.
";"Ашваганда (Ashwagandha Tablet) - это аюрведическое средство для здоровья нервной системы, которое эффективно снимает стресс, избавляет от бессонницы, улучшает настроение, устраняет усталость и напряжение. Ашваганда также обладает антиоксидантными свойствами, которые защищают организм от вредного воздействия свободных радикалов и преждевременного старения, укрепляет иммунную систему и сердечную мышцу.

Половая слабость, импотенция, анемия, артроз, дисбаланс Вата-доши, рассеянный склероз, бесплодие, паралич, кожные болезни – эти и многие другие проблемы могут быть решены с помощью данного средства.

Свойства Ашвагандхи:
- Анаболик. Повышает мышечную силу, увеличивает выносливость в экстремальных условиях.
- Ноотроп. Повышает работоспособность мозга, улучшает память, рекомендовано людям с синдромом рассеянного внимание. Ашвагандха положительно влияет мозговою деятельность и улучшает деятельность центральной нервной системы.
- Антистресс. Устраняет симптомы хронической усталости, является антидепрессантом, является природным тоником, увеличивает трудоспособность.
- Антиоксидант. Омолаживающее средство, Очищает клетки организма от ""мусора"" и выводит результаты незаконченного метаболизма, является защитой клеток от внешних агрессивных факторов и повышает их репродуктивную продолжительность деятельности.";648;720;https://india-bazar.ru/images/stories/virtuemart/product/shri-ganga-ashvagandha-tablets-ashvagandkha-v-tabletkakh-shri-ganga-120-tab27.jpg;;;Здоровье;bastofindia;;
"JATAMASI tab Shri Ganga (ДЖАТАМАСИ (Джатаманси), помощь нервной системе, Шри Ганга), 60 таб.
";"Джатаманси – одно из мощных аюрведических средств для восстановления нервной системы, стимуляции деятельности мозга, а также для нормализации эмоционального и душевного спокойствия. Этот совершенно необычный порошок великолепно справляется с рядом как духовных, так и телесных проблем.

Средство используют йоги для сохранения необходимой концентрации во время своих медитаций. Оно также помогает прийти в эмоциональное равновесие тем, кто пережил сильнейший стресс и чья нервная система пострадала в результате тяжёлых заболеваний. Кроме того, оно снимает головную боль, уменьшает приступы эпилепсии, лечит кожные недуги, восстанавливает менструальный цикл, улучшает аппетит, тонизирует сердечно-сосудистую и гормональную систему, борется с паразитами и делает многое другое.

Согласно древним медицинским учениям, Джатаманси приводит в оптимальный баланс все три доши, оказывая на организм антиоксидантное, омолаживающее, противовоспалительное и регенерирующее воздействие. Эффективно борется с грибковыми заболеваниями и болезнетворными микроорганизмами, снимает воспаление мочеполовых путей. Применяется для улучшения работы сердца и состояния сосудов, облегчает боль различного происхождения.

Убедитесь в этом, попробовав Джатаманси от Шри Ганги.";792;880;https://india-bazar.ru/images/stories/virtuemart/product/jatamasi-tab-shri-ganga-dzhatamasi-dzhatamansi-pomoshch-nervnoj-sisteme-shri-ganga-60-tab.jpg;;;Здоровье;dabur;;
"BRAHMIVATI (Gotukola) Shri Ganga (БРАМИВАТИ (БРАХМИВАТИ) (Готу Кола), омолаживающий тоник, Шри Ганга), 200 таб.
";"Брами Вати - эффективное средство для омоложения и стимуляции процессов в головном мозге.

Активные компоненты, входящие в состав данного средства, способствуют улучшению обмена веществ, гармонизируют нервную систему, повышают умственную активность и оказывают омолаживающее воздействие на организм в целом. Препарат способствует очищению крови, что положительным образом отражается на состоянии кожи: исчезает угревая болезнь, фурункулёз, экзема и др кожные недуги, а также все остальные заболевания, связанные с загрязнением крови.

Cредство нормализует обменные процессы, оказывает мочегонный и жаропонижающий эффект, укрепляет иммунитет и замедляет процесс старения. Повышает работоспособность эндокринной системы, а также укрепляет одно из важнейших её звеньев – надпочечники. Приводит в равновесие правое и левое полушария головного мозга, восстанавливает слух.

Но всё же основной областью применения данного препарата является лечение тревожных невротических расстройств, рассеянность ума, нарушения сна, связанные с навязчивыми мыслями и неврастенической активностью. Брахми Вати помогает легче переносить повышенные психические и ментальные нагрузки. Он также нормализует мозговую деятельность, если человек без острой необходимости слишком много анализирует и переживает. Полезен для учащихся в период сессий и всем работникам умственного труда.

Препарат способствует нейтрализации головных болей, вызываемых спазмами мозговых сосудов и их сужением, так как нормализует мозговое кровообращение. При этом принцип его воздействия принципиально отличается от того же эффекта анальгетиков, которые просто обманывают мозг, подавляя проводимые импульсы боли в сознание. Брахми Вати же устраняет причину боли, расслабляя гладкую мускулатуру и снимая спазмы.

Людям после 50 лет рекомендуется хотя бы раз 1 раз в год проходить профилактический курс Брахми Вати для оптимальной работы мнестических процессов и общего поддержания организма";684;760;https://india-bazar.ru/images/stories/virtuemart/product/brahmivati-gotukola-shri-ganga-brakhmivati-gotu-kola-omolazhivayushchij-tonik-shri-ganga-200-tab77.jpg;;;Здоровье;himalaya;;
"DASHMUL TAB, Sri Ganga (ДАШАМУЛ, Шри Ганга), 100 таб.
";"Дасамула в таблетках является легендарным высокоэффективным аюрведическим составом десяти корней растений. В связи с величайшей эффективностью, этот состав используется во многих аюрведических составах (как для внешнего, так и для внутреннего применения).

Дасамула (или Дашамула) – это классический Аюрведический состав десяти корней. Каждое растение имеет свои специфические целебные свойства, которые эффективно помогают бороться с множеством проблем: общее недомогание, болезни печени и почек, ревматизм и иные заболевания опорно-двигательного аппарата, простуда, лихорадка. Дасамула используется как очищающее и омолаживающее организм средство. Особенно благотворно воздействует на легкие и бронхи, печень и почки, мочеполовую систему, усиливает иммунитет. Дасамула нормализует все 3 доши человека.
Специально подобранные в рецептуре 10 корней растений объединены в один аюрведический препарат не случайно. Каждый корень направлен на нормализацию функции определенного эндокринного органа. Совместно эти десять корней, благодаря богатому содержанию в них ситостеринов и глюкозидов, нормализуют состояние всей нейроэндокринной системы. В связи с этим состав Дасамула (Дашмул) эффективен для лечения всех гормональных нарушений.

В результатах многочисленных исследований было установлено, что состав Дасамула стимулирует выработку гипофизом соматотропина, который в течение нескольких месяцев оживляет работу тимуса, а в течении 3 - 5 лет полностью восстанавливает его функцию (даже при атрофии вилочковой железы). Немаловажно, что синтез соматотропного гормона гипофиза оказывает омолаживающее действие на организм.
Как уже писалось выше, Дасамула - прекрасное средство для глубокого очищения организма и выведения из него шлаков и токсинов. Помимо очищения организма - Дасамула является общеукрепляющим и тонизирующим средством.";450;500;https://india-bazar.ru/images/stories/virtuemart/product/dashmul-tablets-sri-ganga-dashamul-shri-ganga-100-tab.jpg;;;Здоровье;dabur;;
"GOTO KULA (Gotu Kola) tablets Shri Ganga (ГОТУ КОЛА (Гото Кула), для укрепления сосудов, Шри Ганга), 100 таб.
";"Улучшает память, стимулирует жизнеспособность клеток головного мозга, улучшает нервную и психическую выносливость, увеличивает умственные способности, уменьшает стресс и беспокойство. Является замечательным средством для медитации.

Готу Кола (Брахми) - Центелла азиатская улучшает мозговое кровообращение и снабжает мозга кислородом, стимулируя и восстанавливая функции мозга и улучшая память, мыслительные способности и сознательную деятельность. Растение на протяжении веков использовалось в народной медицине как «пища для мозга» и «трава памяти».

Готу Колы (Gotu Kola) имеет ярко выраженное возбуждающее и стимулирующее действие, помогает улучшить физическое и психическое здоровье человека, что особенно важно при сильной усталости, депрессиях, неврозах, состояниях беспокойства и страха. Способствует улучшению памяти, концентрации внимания и умственных способностей у детей.

Имеет свойство восстанавливать коллаген, поэтому ее также используют для улучшения структуры кожи.
Многолетнее сорное растение с ползучим стеблем, дающее подземные побеги.

Содержит гликозиды: индоцентеллозид, брахмозид, брахминозид, азиатикозид, танкунизид и изотанкунизид. Кроме того, обладает транквилизирующими, анаболическими, противопротозойными и спазмолитическими свойствами.";432;480;https://india-bazar.ru/images/stories/virtuemart/product/goto-kula-tablets-shri-ganga-gotu-kola-goto-kula-dlya-ukrepleniya-sosudov-shri-ganga-100-tab.jpg;;;Здоровье;himalaya;;
"UJALA, Vyas (УДЖАЛА, тоник для глаз, Вьяс), 100 таб.
";"Витамины для глаз Уджала - это травяная формула целебных растений, тонко подобранная для поддержания здоровья глаз и улучшение ослабленного зрения.

Травы, входящие в состав таблеток Уджала, снимают напряжение глаз, усталость от долгой работы за компьютером, устраняют глазное и внутричерепное давление, покраснение глаз, конъюнктивиты.

Тоник уджала применяется как вспомогательное средство при лечении катаракты, способствуя очищению хрусталика, сосудов и слёзных каналов.

Способ применения: Принимать по 1-2 таблетки два раза в день, за тридцать минут до приема пищи или спустя час после приема пищи. Курс приема два - три месяца в году для профилактики глазных заболеваний.

При совместной терапии катаракты прием должен быть длительный пять – шесть месяцев.:";468;520;https://india-bazar.ru/images/stories/virtuemart/product/NCiuiTQVGQw.jpg;;;Здоровье;maharishi;;
